Unnamed: 0;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2022-01-02 06:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-02 07:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-02 08:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-02 09:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-02 10:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-02 11:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-02 12:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-02 13:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-02 14:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-02 15:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-02 16:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-02 17:00:00;82.0;2000.0;0.0;17.88965309699135;0.0;0.0;0.0;0.0
2022-01-02 18:00:00;82.0;2000.0;0.0;17.88965309699135;0.0;0.0;0.0;0.0
2022-01-02 19:00:00;82.0;2000.0;0.0;17.88965309699135;0.0;0.0;0.0;0.0
2022-01-02 20:00:00;82.0;2000.0;0.0;17.88965309699135;0.0;0.0;0.0;0.0
2022-01-02 21:00:00;82.0;2000.0;0.0;15.97889769690077;0.0;0.0;0.0;0.0
2022-01-02 22:00:00;82.0;2000.0;0.0;15.97889769690077;0.0;0.0;0.0;0.0
2022-01-02 23:00:00;82.0;2000.0;0.0;15.97889769690077;0.0;0.0;0.0;0.0
2022-01-03 00:00:00;82.0;2000.0;0.0;15.97889769690077;0.0;0.0;0.0;0.0
2022-01-03 01:00:00;82.0;2000.0;0.0;15.97889769690077;0.0;0.0;0.0;0.0
2022-01-03 02:00:00;82.0;2000.0;0.0;15.97889769690077;0.0;0.0;0.0;0.0
2022-01-03 03:00:00;82.0;2000.0;0.0;15.97889769690077;0.0;0.0;0.0;0.0
2022-01-03 04:00:00;82.0;2000.0;0.0;15.97889769690077;0.0;0.0;0.0;0.0
2022-01-03 05:00:00;82.0;2000.0;0.0;15.97889769690077;0.0;0.0;0.0;0.0
2022-01-03 06:00:00;82.0;2000.0;0.0;17.27889769690077;0.0;0.0;0.0;0.0
2022-01-03 07:00:00;82.0;2000.0;0.0;17.27889769690077;0.0;0.0;0.0;0.0
2022-01-03 08:00:00;82.0;2000.0;0.0;19.30269657525222;0.0;0.0;0.0;0.0
2022-01-03 09:00:00;82.0;2000.0;0.0;19.30269657525222;0.0;0.0;0.0;0.0
2022-01-03 10:00:00;82.0;2000.0;0.0;17.27889769690077;0.0;0.0;0.0;0.0
2022-01-03 11:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-03 12:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-03 13:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-03 14:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-03 15:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-03 16:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-03 17:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-03 18:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-03 19:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-03 20:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-03 21:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-03 22:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-03 23:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-04 00:00:00;82.0;2000.0;0.0;20.037728304914783;0.0;0.0;0.0;0.0
2022-01-04 01:00:00;82.0;2000.0;0.0;20.037728304914783;0.0;0.0;0.0;0.0
2022-01-04 02:00:00;82.0;2000.0;0.0;20.037728304914783;0.0;0.0;0.0;0.0
2022-01-04 03:00:00;82.0;2000.0;0.0;20.037728304914783;0.0;0.0;0.0;0.0
2022-01-04 04:00:00;82.0;2000.0;0.0;20.037728304914783;0.0;0.0;0.0;0.0
2022-01-04 05:00:00;82.0;2000.0;0.0;20.037728304914783;0.0;0.0;0.0;0.0
2022-01-04 06:00:00;82.0;2000.0;0.0;22.30142549700658;0.0;0.0;0.0;0.0
2022-01-04 07:00:00;82.0;2000.0;0.0;22.30142549700658;0.0;0.0;0.0;0.0
2022-01-04 08:00:00;82.0;2000.0;0.0;22.30142549700658;0.0;0.0;0.0;0.0
2022-01-04 09:00:00;82.0;2000.0;0.0;17.27889769690077;0.0;0.0;0.0;0.0
2022-01-04 10:00:00;82.0;2000.0;0.0;17.27889769690077;0.0;0.0;0.0;0.0
2022-01-04 11:00:00;82.0;2000.0;0.0;17.27889769690077;0.0;0.0;0.0;0.0
2022-01-04 12:00:00;82.0;2000.0;0.0;17.27889769690077;0.0;0.0;0.0;0.0
2022-01-04 13:00:00;82.0;2000.0;0.0;17.27889769690077;0.0;0.0;0.0;0.0
2022-01-04 14:00:00;82.0;2000.0;0.0;17.27889769690077;0.0;0.0;0.0;0.0
2022-01-04 15:00:00;82.0;2000.0;0.0;45.33359999999998;0.0;0.0;0.0;0.0
2022-01-04 16:00:00;82.0;2000.0;0.0;45.33685;0.0;0.0;0.0;0.0
2022-01-04 17:00:00;82.0;2000.0;0.0;45.33685;0.0;0.0;0.0;0.0
2022-01-04 18:00:00;82.0;2000.0;0.0;45.33685;0.0;0.0;0.0;0.0
2022-01-04 19:00:00;82.0;2000.0;0.0;45.33685;0.0;0.0;0.0;0.0
2022-01-04 20:00:00;82.0;2000.0;0.0;45.33685;0.0;0.0;0.0;0.0
2022-01-04 21:00:00;82.0;2000.0;0.0;45.3362;0.0;0.0;0.0;0.0
2022-01-04 22:00:00;82.0;2000.0;0.0;42.529500000000006;0.0;0.0;0.0;0.0
2022-01-04 23:00:00;82.0;2000.0;0.0;41.23031884766873;0.0;0.0;0.0;0.0
2022-01-05 00:00:00;82.0;2000.0;0.0;41.23031884766873;0.0;0.0;0.0;0.0
2022-01-05 01:00:00;82.0;2000.0;0.0;41.23031884766873;0.0;0.0;0.0;0.0
2022-01-05 02:00:00;82.0;2000.0;0.0;41.23031884766873;0.0;0.0;0.0;0.0
2022-01-05 03:00:00;82.0;2000.0;0.0;41.23031884766873;0.0;0.0;0.0;0.0
2022-01-05 04:00:00;82.0;2000.0;0.0;41.23031884766873;0.0;0.0;0.0;0.0
2022-01-05 05:00:00;82.0;2000.0;0.0;41.23031884766873;0.0;0.0;0.0;0.0
2022-01-05 06:00:00;82.0;2000.0;0.0;41.23031884766873;0.0;0.0;0.0;0.0
2022-01-05 07:00:00;82.0;2000.0;0.0;45.3375;0.0;0.0;0.0;0.0
2022-01-05 08:00:00;82.0;2000.0;0.0;45.3375;0.0;0.0;0.0;0.0
2022-01-05 09:00:00;82.0;2000.0;0.0;45.3375;0.0;0.0;0.0;0.0
2022-01-05 10:00:00;82.0;2000.0;0.0;45.3375;0.0;0.0;0.0;0.0
2022-01-05 11:00:00;82.0;2000.0;0.0;42.529500000000006;0.0;0.0;0.0;0.0
2022-01-05 12:00:00;82.0;2000.0;0.0;41.23091684766873;0.0;0.0;0.0;0.0
2022-01-05 13:00:00;82.0;2000.0;0.0;41.23091684766873;0.0;0.0;0.0;0.0
2022-01-05 14:00:00;82.0;2000.0;0.0;41.23091684766873;0.0;0.0;0.0;0.0
2022-01-05 15:00:00;82.0;2000.0;0.0;45.63234536082474;0.0;0.0015357932934653479;0.0;0.0
2022-01-05 16:00:00;82.0;2000.0;0.0;107.84100178827045;0.0;0.008483195996597139;0.0;0.0
2022-01-05 17:00:00;82.0;2000.0;0.0;107.84100178827045;0.0;0.014147322113521774;0.0;0.0
2022-01-05 18:00:00;82.0;2000.0;0.0;107.84100178827045;0.0;0.014655949013478956;0.0;0.0
2022-01-05 19:00:00;82.0;2000.0;0.0;107.84100178827045;0.0;0.017844456759187288;0.0;0.0
2022-01-05 20:00:00;82.0;2000.0;0.0;107.84100178827045;0.0;0.02232287039003819;0.0;0.0
2022-01-05 21:00:00;82.0;2000.0;0.0;107.84100178827045;0.0;0.025221918550791127;0.0;0.0
2022-01-05 22:00:00;82.0;2000.0;0.0;107.84100178827045;0.0;0.027736491358022492;0.0;0.0
2022-01-05 23:00:00;82.0;2000.0;0.0;107.84100178827045;0.0;0.03284495136192755;0.0;0.0
2022-01-06 00:00:00;82.0;2000.0;0.0;107.84100178827045;0.0;0.028631384936979424;0.0;0.0
2022-01-06 01:00:00;82.0;2000.0;0.0;107.84100178827045;0.0;0.024235983629315394;0.0;0.0
2022-01-06 02:00:00;82.0;2000.0;0.0;107.84100178827045;0.0;0.021785852778680802;0.0;0.0
2022-01-06 03:00:00;82.0;2000.0;0.0;107.84100178827045;0.0;0.018514355559538384;0.0;0.0
2022-01-06 04:00:00;82.0;2000.0;0.0;107.84100178827045;0.0;0.015507695589615705;0.0;0.0
2022-01-06 05:00:00;82.0;2000.0;0.0;107.84100178827045;0.0;0.012454571255224225;0.0;0.0
2022-01-06 06:00:00;82.0;2000.0;0.0;107.08201569519476;0.0;0.008906011981605422;0.0;0.0
2022-01-06 07:00:00;82.0;2000.0;0.0;107.84100178827045;0.0;0.0067353841016493865;0.0;0.0
2022-01-06 08:00:00;82.0;2000.0;0.0;107.84100178827045;0.0;0.004166869738148688;0.0;0.0
2022-01-06 09:00:00;82.0;2000.0;0.0;46.54648659793813;0.0;0.0008352524603529499;0.0;0.0
2022-01-06 10:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-06 11:00:00;82.0;2000.0;0.0;26.405522065850548;0.0;0.0;0.0;0.0
2022-01-06 12:00:00;82.0;2000.0;0.0;26.405522065850548;0.0;0.0;0.0;0.0
2022-01-06 13:00:00;82.0;2000.0;0.0;26.405522065850548;0.0;0.0;0.0;0.0
2022-01-06 14:00:00;82.0;2000.0;0.0;26.405522065850548;0.0;0.0;0.0;0.0
2022-01-06 15:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-06 16:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-06 17:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-06 18:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-06 19:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-06 20:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-06 21:00:00;82.0;2000.0;0.0;26.405522065850548;0.0;0.0;0.0;0.0
2022-01-06 22:00:00;82.0;2000.0;0.0;26.405522065850548;0.0;0.0;0.0;0.0
2022-01-06 23:00:00;82.0;2000.0;0.0;26.405522065850548;0.0;0.0;0.0;0.0
2022-01-07 00:00:00;82.0;2000.0;0.0;26.405522065850548;0.0;0.0;0.0;0.0
2022-01-07 01:00:00;82.0;2000.0;0.0;26.405522065850548;0.0;0.0;0.0;0.0
2022-01-07 02:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-07 03:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-07 04:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-07 05:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-07 06:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-07 07:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-07 08:00:00;82.0;2000.0;0.0;29.22294045454545;0.0;0.0;0.0;0.0
2022-01-07 09:00:00;82.0;2000.0;0.0;17.27889769690077;0.0;0.0;0.0;0.0
2022-01-07 10:00:00;82.0;2000.0;0.0;15.417002728817437;0.0;0.0;0.0;0.0
2022-01-07 11:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-07 12:00:00;82.0;2000.0;0.0;15.417002728817437;0.0;0.0;0.0;0.0
2022-01-07 13:00:00;82.0;2000.0;0.0;15.417002728817437;0.0;0.0;0.0;0.0
2022-01-07 14:00:00;82.0;2000.0;0.0;15.417002728817437;0.0;0.0;0.0;0.0
2022-01-07 15:00:00;82.0;2000.0;0.0;17.27889769690077;0.0;0.0;0.0;0.0
2022-01-07 16:00:00;82.0;2000.0;0.0;17.27889769690077;0.0;0.0;0.0;0.0
2022-01-07 17:00:00;82.0;2000.0;0.0;17.27889769690077;0.0;0.0;0.0;0.0
2022-01-07 18:00:00;82.0;2000.0;0.0;17.27889769690077;0.0;0.0;0.0;0.0
2022-01-07 19:00:00;82.0;2000.0;0.0;17.27889769690077;0.0;0.0;0.0;0.0
2022-01-07 20:00:00;82.0;2000.0;0.0;17.27889769690077;0.0;0.0;0.0;0.0
2022-01-07 21:00:00;82.0;2000.0;0.0;15.97889769690077;0.0;0.0;0.0;0.0
2022-01-07 22:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-07 23:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-08 00:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-08 01:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-08 02:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-08 03:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-08 04:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-08 05:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-08 06:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-08 07:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-08 08:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-08 09:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-08 10:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-08 11:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-08 12:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-08 13:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-08 14:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-08 15:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-08 16:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-08 17:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-08 18:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-08 19:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-08 20:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-08 21:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-08 22:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-08 23:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-09 00:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-09 01:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-09 02:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-09 03:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-09 04:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-09 05:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-09 06:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-09 07:00:00;82.0;2000.0;0.0;2.3691121220992084;0.0;0.0;0.0;0.0
2022-01-09 08:00:00;82.0;2000.0;0.0;2.3691121220992084;0.0;0.0;0.0;0.0
2022-01-09 09:00:00;82.0;2000.0;0.0;2.3691121220992084;0.0;0.0;0.0;0.0
2022-01-09 10:00:00;82.0;2000.0;0.0;1.7;0.0;0.0;0.0;0.0
2022-01-09 11:00:00;82.0;2000.0;0.0;1.7;0.0;0.0;0.0;0.0
2022-01-09 12:00:00;82.0;2000.0;0.0;1.7;0.0;0.0;0.0;0.0
2022-01-09 13:00:00;82.0;2000.0;0.0;1.7;0.0;0.0;0.0;0.0
2022-01-09 14:00:00;82.0;2000.0;0.0;1.7;0.0;0.0;0.0;0.0
2022-01-09 15:00:00;82.0;2000.0;0.0;2.3691121220992084;0.0;0.0;0.0;0.0
2022-01-09 16:00:00;82.0;2000.0;0.0;2.3691121220992084;0.0;0.0;0.0;0.0
2022-01-09 17:00:00;82.0;2000.0;0.0;2.3691121220992084;0.0;0.0;0.0;0.0
2022-01-09 18:00:00;82.0;2000.0;0.0;2.3691121220992084;0.0;0.0;0.0;0.0
2022-01-09 19:00:00;82.0;2000.0;0.0;2.3691121220992084;0.0;0.0;0.0;0.0
2022-01-09 20:00:00;82.0;2000.0;0.0;2.3691121220992084;0.0;0.0;0.0;0.0
2022-01-09 21:00:00;82.0;2000.0;0.0;2.3691121220992084;0.0;0.0;0.0;0.0
2022-01-09 22:00:00;82.0;2000.0;0.0;2.3691121220992084;0.0;0.0;0.0;0.0
2022-01-09 23:00:00;82.0;2000.0;0.0;2.3691121220992084;0.0;0.0;0.0;0.0
2022-01-10 00:00:00;82.0;2000.0;0.0;1.7;0.0;0.0;0.0;0.0
2022-01-10 01:00:00;82.0;2000.0;0.0;1.7;0.0;0.0;0.0;0.0
2022-01-10 02:00:00;82.0;2000.0;0.0;1.7;0.0;0.0;0.0;0.0
2022-01-10 03:00:00;82.0;2000.0;0.0;1.7;0.0;0.0;0.0;0.0
2022-01-10 04:00:00;82.0;2000.0;0.0;1.7;0.0;0.0;0.0;0.0
2022-01-10 05:00:00;82.0;2000.0;0.0;1.7;0.0;0.0;0.0;0.0
2022-01-10 06:00:00;82.0;2000.0;0.0;1.7;0.0;0.0;0.0;0.0
2022-01-10 07:00:00;82.0;2000.0;0.0;2.3691121220992084;0.0;0.0;0.0;0.0
2022-01-10 08:00:00;82.0;2000.0;0.0;2.3691121220992084;0.0;0.0;0.0;0.0
2022-01-10 09:00:00;82.0;2000.0;0.0;2.3691121220992084;0.0;0.0;0.0;0.0
2022-01-10 10:00:00;82.0;2000.0;0.0;2.3691121220992084;0.0;0.0;0.0;0.0
2022-01-10 11:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-10 12:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-10 13:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-10 14:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-10 15:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-10 16:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-10 17:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-10 18:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-10 19:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-10 20:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-10 21:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-10 22:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-10 23:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 00:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 01:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 02:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 03:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 04:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 05:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 06:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 07:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 08:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 09:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 10:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 11:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 12:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 13:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 14:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 15:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 16:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 17:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 18:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 19:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 20:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 21:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 22:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-11 23:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-12 00:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-12 01:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-12 02:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-12 03:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-12 04:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-12 05:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-12 06:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-12 07:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-12 08:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-12 09:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-12 10:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-12 11:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-12 12:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-12 13:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-12 14:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-12 15:00:00;82.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-12 16:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-12 17:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-12 18:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
2022-01-12 19:00:00;82.0;2000.0;0.0;0.5212860351426869;0.0;0.0;0.0;0.0
